0.503592,0.7324169,3.142616;0.5333056,0.1335296,3.004689;0.5284739,0.07786825,2.930841;0.6071894,0.01239565,2.891852;0.452893,-0.002486547,2.914345;0.5200167,0.5267652,3.096241;0.6863547,0.4092761,3.038741;0.3501958,0.3911324,3.074135;0.7817426,0.1865264,2.936885;0.3144684,0.1454959,2.972703;0.8028988,0.01783961,2.700285;0.2740503,0.01133971,2.777168;0.8010599,-0.05730003,2.586715;0.2748731,-0.04789723,2.672473;0.6892897,-0.4072576,2.716721;0.3558748,-0.4165534,2.713676;0.708253,-0.7868723,2.685806;0.3349449,-0.7910511,2.676137;0.7151154,-0.8632919,2.620842;0.3164067,-0.8615502,2.615971;
0.5045439,0.6982574,3.115401;0.5341952,0.1159457,3.005499;0.5298007,0.06006711,2.932791;0.6109634,-0.007713112,2.894634;0.4525378,-0.02003754,2.916774;0.5190414,0.5059529,3.087052;0.692812,0.3890792,3.032224;0.3512195,0.3751653,3.06923;0.7852562,0.1928869,2.91455;0.3171701,0.1357984,2.96442;0.7961934,0.05796075,2.715449;0.2706294,0.0209506,2.757447;0.7983855,-0.02927977,2.559651;0.2731358,-0.05541003,2.593909;0.6966831,-0.4093704,2.70871;0.34622,-0.4191586,2.704232;0.7081385,-0.7877712,2.679537;0.3334064,-0.7892432,2.673027;0.7152335,-0.8638076,2.620043;0.3160996,-0.8620103,2.615247;
0.5040462,0.6897985,3.112495;0.5362272,0.0962375,3.008366;0.533663,0.03836032,2.936532;0.6193401,-0.02901693,2.89977;0.4540184,-0.0443878,2.920721;0.5169647,0.4909904,3.084517;0.6969909,0.3703915,3.025088;0.3520269,0.3491324,3.055314;0.7887489,0.1849364,2.898727;0.3185076,0.1334917,2.957751;0.7986053,0.05759726,2.694267;0.2618266,0.04965798,2.737932;0.7901653,-0.0002549188,2.523263;0.2730754,-0.03169111,2.565959;0.7012685,-0.408214,2.703218;0.3445586,-0.4179073,2.702873;0.7087053,-0.7875796,2.678952;0.3311286,-0.787727,2.669809;0.7160713,-0.8640932,2.619742;0.3152348,-0.8623575,2.61404;
0.5053402,0.6717268,3.103629;0.5345135,0.07542094,3.011411;0.5323223,0.01917473,2.940893;0.6194796,-0.05052097,2.906673;0.4514473,-0.06273014,2.924841;0.513518,0.4548562,3.075331;0.6964932,0.3448558,3.013028;0.3477147,0.3279917,3.043907;0.7912708,0.1663071,2.877204;0.3044598,0.1330627,2.90355;0.7953787,0.05720158,2.661537;0.2559845,0.05443864,2.679629;0.7815926,0.02758268,2.475899;0.2756568,-0.0008769854,2.511948;0.7050886,-0.4078335,2.699073;0.3311764,-0.414444,2.694587;0.7089152,-0.7874565,2.676312;0.3297486,-0.7875458,2.668123;0.7163036,-0.8644566,2.61857;0.3141416,-0.8624519,2.61265;
0.5046427,0.6293231,3.086241;0.5351065,0.05525519,3.014723;0.5329321,-0.003804912,2.946988;0.6203955,-0.07310749,2.913793;0.452207,-0.08522281,2.936064;0.5130553,0.4362878,3.064224;0.692261,0.3258564,3.002403;0.3482071,0.3102636,3.03477;0.7721086,0.1512512,2.849367;0.2829395,0.1438995,2.863328;0.8100272,0.08845138,2.618071;0.2548609,0.03920636,2.64725;0.7706261,0.06050752,2.44479;0.2682734,0.02569233,2.492523;0.7082556,-0.4084136,2.691372;0.327096,-0.4131661,2.690379;0.7087494,-0.7887452,2.672194;0.3281808,-0.7866527,2.666611;0.7170827,-0.8657458,2.614864;0.3137628,-0.8629112,2.612686;
0.5056931,0.607359,3.071967;0.532244,0.02588223,3.013483;0.5297647,-0.03614544,2.947579;0.6156396,-0.1036828,2.915589;0.4498022,-0.1118402,2.940764;0.5127662,0.4153324,3.052611;0.682732,0.2912635,2.987029;0.3511719,0.2829061,3.018655;0.783356,0.1365867,2.82321;0.2708176,0.1314743,2.838594;0.7872251,0.09873035,2.583044;0.2637674,0.04803249,2.611112;0.7657224,0.08352569,2.437432;0.2722166,0.06081264,2.442618;0.715932,-0.4213466,2.675987;0.322843,-0.4140894,2.685846;0.7086995,-0.7900875,2.670617;0.3262261,-0.7848284,2.664965;0.7190403,-0.865133,2.612229;0.3136132,-0.8629201,2.612068;
0.5030149,0.5821791,3.053551;0.5293054,9.659212E-05,3.010827;0.5268422,-0.05844658,2.946594;0.6118761,-0.1271837,2.915363;0.4463813,-0.1367197,2.941951;0.5124993,0.364255,3.034228;0.6815536,0.2767533,2.978894;0.3515898,0.2637429,3.00801;0.7857658,0.1341473,2.804952;0.2661502,0.1246318,2.819211;0.7709157,0.09668764,2.565197;0.296711,0.06175534,2.586821;0.7566139,0.1191597,2.393056;0.2723052,0.07755049,2.43256;0.7209033,-0.4325497,2.663182;0.3152642,-0.4213656,2.675634;0.7092966,-0.7903088,2.669429;0.3226426,-0.7827795,2.662368;0.7190281,-0.8651254,2.612057;0.312094,-0.8638729,2.610262;
0.5017418,0.5393212,3.022599;0.5305821,-0.0196747,3.008892;0.5255091,-0.07863474,2.945528;0.6097972,-0.1508273,2.912516;0.4435467,-0.1546634,2.943507;0.5180618,0.347082,3.030969;0.6845226,0.2407863,2.964291;0.35322,0.2492231,3.006791;0.789585,0.1182554,2.773666;0.265912,0.120158,2.810794;0.7692379,0.1160694,2.531276;0.3154805,0.0561168,2.582297;0.7546475,0.1382349,2.387266;0.2742929,0.1153334,2.411987;0.7269734,-0.4447117,2.649994;0.3102303,-0.4285504,2.66666;0.7104094,-0.7915002,2.667696;0.3218251,-0.7815611,2.662185;0.7192075,-0.8665541,2.610964;0.3116499,-0.8635145,2.609917;
0.5021898,0.5226843,3.014009;0.5309697,-0.04389789,3.006677;0.5250685,-0.1030696,2.94415;0.608892,-0.1713961,2.911698;0.4433364,-0.1768621,2.943943;0.51902,0.3212962,3.0251;0.6847907,0.2318618,2.960635;0.3606027,0.2262411,3.002646;0.7898825,0.1156284,2.765465;0.2766114,0.10063,2.802392;0.7664834,0.1137275,2.523372;0.2381931,0.07408618,2.563906;0.7444775,0.1811327,2.360873;0.2757783,0.1276009,2.402919;0.7327874,-0.4524357,2.637841;0.305118,-0.4380459,2.656904;0.7112839,-0.7925881,2.66635;0.3218364,-0.7817104,2.661056;0.7198464,-0.8673221,2.609168;0.3110026,-0.8636636,2.607948;
0.5019655,0.4997711,3.001118;0.5332972,-0.06853735,2.999501;0.5266197,-0.1293954,2.938016;0.6069176,-0.1974284,2.90749;0.4476716,-0.2012101,2.9394;0.5220891,0.2990784,3.012311;0.6812646,0.1947308,2.943053;0.3657461,0.203631,2.99002;0.7824274,0.1055914,2.729777;0.3227379,0.1798019,2.696947;0.7600164,0.1413071,2.48388;0.2771996,0.1388064,2.462021;0.7404752,0.1918066,2.341819;0.2747473,0.1532122,2.387155;0.7408407,-0.4621435,2.621746;0.2977814,-0.4472477,2.644578;0.7115969,-0.7942414,2.664273;0.3209263,-0.7821625,2.658594;0.7200673,-0.8695468,2.607838;0.310966,-0.8636545,2.607928;
